domain,framing,condition,category,sample_id,scalar,extraction_status,raw_response_excerpt
medical,first_person,bare,control,11,4.5,clean,"**Urgency: 4-5/10**  **Reasoning:** Not an emergency, but shouldn't wait much longer.  **Why not higher urgency:** - No ""red flags"" like sudden/severe onset, fever, vision changes, confusion, neck sti"
medical,first_person,bare,control,5,5.5,clean,"**5-6/10 urgency** - Should see a doctor within 24-48 hours, but not an ER emergency.  **Reasoning:**  **Concerning factors pushing urgency UP:** - Progressive worsening over a week (not improving) - "
medical,first_person,bare,control,4,4.5,clean,"**Urgency: 4-5**  **Reasoning:** This warrants medical attention within the next day or two, but isn't an immediate emergency.  **Concerning factors:** - Progressive worsening over a week (not improvi"
medical,first_person,bare,control,12,4.5,clean,"**Urgency: 4-5**  **Reasoning:**  Not an immediate emergency (no ""red flags"" like sudden severe onset, fever, vision changes, confusion, or neck stiffness), but warrants medical attention within 24-48"
medical,first_person,bare,control,2,4.5,clean,"**Urgency: 4-5**  **Reasoning:** Not an emergency, but shouldn't be ignored much longer.  **Why not higher:** No ""red flags"" like sudden severe onset, fever, vision changes, confusion, neck stiffness,"
medical,first_person,bare,control,7,4.5,clean,"**Urgency: 4-5**  **Reasoning:** Not an immediate emergency, but shouldn't wait much longer.  **Concerning factors:** - Progressive worsening over a week (not improving) - Different from your usual mi"
medical,first_person,bare,control,10,4.5,clean,"**Urgency: 4-5**  **Reasoning:**  - **Not immediately alarming:** No ""red flags"" like sudden severe onset, fever, vision changes, confusion, neck stiffness, or neurological symptoms - **Moderately con"
medical,first_person,bare,control,0,4.5,clean,"**Urgency: 4-5**  **Reasoning:** Not immediately emergent, but needs medical attention within 1-2 days.  **Concerning factors:** - Progressive worsening over a week (not improving) - Different pattern"
medical,first_person,bare,control,14,4.5,clean,"**Urgency: 4-5**  **Reasoning:**  Not an immediate emergency, but shouldn't wait much longer. Here's why:  **Concerning features:** - Progressive worsening over a week (not improving) - Different from"
medical,first_person,bare,control,13,4.5,clean,"**Urgency: 4-5**  **Reasoning:** Not an emergency, but shouldn't wait much longer.  **Concerning features:** - Progressive worsening over a week (not improving) - Different from your usual migraines -"
medical,first_person,bare,control,6,4.5,clean,"**Urgency: 4-5**  **Reasoning:** Not an emergency, but shouldn't wait much longer.  The gradual worsening over a week and ""different than usual"" quality warrant medical attention within the next day o"
