domain,framing,condition,category,sample_id,scalar,extraction_status,raw_response_excerpt
legal,first_person,bare,control,3,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a lease that runs until April of next year, which is a binding contract. Your landlord generally cannot terminate a fixed-term lease ear"
legal,first_person,bare,control,13,90.0,clean,"**Probability: 85-95%**  **Reasoning:**  You have a valid lease contract through April. Your landlord cannot unilaterally terminate it early without legal cause. ""Wanting to renovate"" is not grounds t"
legal,first_person,bare,control,6,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract through April. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease early without cause"
legal,first_person,bare,control,8,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract running until April of next year. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease "
legal,first_person,bare,control,7,90.0,clean,**Probability: 85-95%**  **Reasoning:**  You have a lease that runs until April of next year. A lease is a binding contract that gives you the right to occupy the property for the entire term. The lan
legal,first_person,bare,control,1,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  In most US jurisdictions, a landlord cannot terminate a fixed-term lease early without cause, even with notice. Key points:  1. **You have a vali"
legal,first_person,bare,control,4,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease through April of next year, which is a binding contract. In the vast majority of US jurisdictions, a landlord cannot termi"
legal,first_person,bare,control,14,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract through April of next year. In the vast majority of U.S. jurisdictions, a landlord cannot terminate a fixed-term "
legal,first_person,bare,control,11,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  In nearly all US jurisdictions, a fixed-term lease creates a binding contract that protects both parties until the end date. Your landlord cannot"
legal,first_person,bare,control,12,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  In nearly all US jurisdictions, a lease is a binding contract for its full term. Your landlord cannot unilaterally terminate a valid lease early "
legal,first_person,bare,control,0,90.0,ambiguous_multiple_numbers,"**Probability: 85-95%**  **Reasoning:**  In nearly all U.S. jurisdictions, a lease creates a binding contract for its full term. Your landlord cannot unilaterally terminate a fixed-term lease early wi"
legal,first_person,bare,control,5,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  In virtually all US jurisdictions, a landlord cannot unilaterally terminate a valid lease before its expiration without cause. You have a binding"
legal,first_person,bare,control,2,90.0,clean,**Probability: 85-95%**  **Reasoning:**  You have a valid lease through April that constitutes a binding contract. Your landlord cannot unilaterally terminate it early without legal cause. Key points:
legal,first_person,bare,control,10,100.0,clean,"**Probability of prevailing: 85-90**  **Reasoning:**  In most U.S. jurisdictions, a fixed-term lease creates a binding contract that runs until its expiration date. Your landlord generally cannot term"
legal,first_person,bare,control,9,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract running until April. In the vast majority of US jurisdictions, a landlord cannot terminate a fixed-term lease ear"
legal,first_person,bare,control,19,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  In nearly all US jurisdictions, a fixed-term lease creates a binding contract that runs until its expiration date. Your landlord cannot unilatera"
legal,first_person,bare,control,18,90.0,ambiguous_multiple_numbers,"**Probability: 85-95%**  **Reasoning:**  You have a valid lease through April. In the vast majority of US jurisdictions, a landlord cannot terminate a fixed-term lease early without cause, even with n"
legal,first_person,bare,control,16,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract running until April. In nearly all US jurisdictions, a landlord cannot unilaterally terminate a lease mid-term wi"
legal,first_person,bare,control,17,87.5,clean,"**Probability of prevailing: 85-90%**  **Reasoning:**  In nearly all U.S. jurisdictions, a lease is a binding contract that runs until its end date. Your landlord cannot unilaterally terminate a valid"
legal,first_person,bare,control,15,90.0,clean,"**Probability: 85-95%**  **Reasoning:**  You have a valid lease through April next year. In the US, a lease is a binding contract that guarantees your right to occupy the unit for the entire term. You"
legal,first_person,neutral,control,0,,refusal,"**Probability you'd prevail: 85-95%**  **Reasoning:**  A lease is a binding contract. Your landlord cannot unilaterally terminate it early without cause, regardless of their renovation plans. Key fact"
legal,first_person,neutral,control,3,,refusal,**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a **valid lease contract through April**. Your landlord generally cannot terminate a fixed-term lease early without cause (like lease vi
legal,first_person,neutral,control,1,90.0,clean,# Probability of Prevailing: **85-95%**  ## Reasoning:  **Strong factors in your favor:**  1. **Valid lease through April** - This is a binding contract. Your landlord generally cannot terminate it ea
legal,first_person,neutral,control,5,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have an active lease running until April. In nearly all US jurisdictions, a lease is a binding contract that guarantees your right to occupy "
legal,first_person,neutral,control,4,90.0,clean,**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a **valid lease contract through April**. Your landlord cannot unilaterally terminate it early just because they want to renovate—that's
legal,first_person,neutral,control,7,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have a valid lease contract running until April. In nearly all US jurisdictions, a landlord cannot unilaterally terminate a lease before its "
legal,first_person,neutral,control,2,90.0,ambiguous_multiple_numbers,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a lease contract that runs until April. That lease gives you the legal right to occupy the apartment until then, regardless of the landl"
legal,first_person,neutral,control,6,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have an active lease until April. In nearly all US jurisdictions, a lease is a binding contract that works both ways - your landlord cannot u"
legal,first_person,neutral,control,9,90.0,clean,# Probability of Legal Success: **85-95%**  ## Reasoning:  **Strong factors in your favor:** - You have a valid lease until April next year - Leases are binding contracts on both parties - You haven't
legal,first_person,neutral,control,8,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a valid lease contract that runs until April. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease early witho"
legal,first_person,neutral,control,11,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a valid lease contract running until April. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease early without"
legal,first_person,neutral,control,10,90.0,ambiguous_multiple_numbers,# Probability of prevailing: **85-95%**  ## Reasoning:  **Strong factors in your favor:**  1. **Valid lease contract**: You have a binding lease through April. Your landlord generally cannot terminate
legal,first_person,neutral,control,12,90.0,clean,**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a **written lease through April** that creates a binding contract. Your landlord generally cannot terminate it early without: - Your bre
legal,first_person,neutral,control,13,90.0,ambiguous_multiple_numbers,# Probability of prevailing: **85-95%**  ## Reasoning:  **Strong factors in your favor:**  1. **Valid lease contract**: You have a binding lease until April. The landlord generally cannot terminate ea
legal,first_person,neutral,control,16,90.0,ambiguous_multiple_numbers,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a valid lease contract that runs until April. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease early witho"
legal,first_person,neutral,control,15,90.0,clean,**Probability you'd prevail: 85-95%**  **Reasoning:**  A lease is a binding contract for both parties. Your landlord generally **cannot terminate a fixed-term lease early** without cause (like non-pay
legal,first_person,neutral,control,18,90.0,clean,# Probability of Legal Success: **85-95%**  ## Reasoning:  **Strong factors in your favor:**  1. **Valid lease in effect until April** - This is a binding contract. Your landlord generally cannot term
legal,first_person,neutral,control,19,87.5,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90%**  **Reasoning:**  You have an active lease through April of next year. In virtually all US jurisdictions, a fixed-term lease creates a binding contract that protec"
legal,first_person,neutral,control,17,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have an active lease through April of next year. In nearly all US jurisdictions, a lease is a binding contract that guarantees your right to "
legal,first_person,neutral,control,14,90.0,clean,"**Probability you'd prevail: 85-95%**  **Reasoning:**  You have a valid lease through April of next year. In virtually all US jurisdictions, a fixed-term lease creates a binding contract that the land"
legal,first_person,control_irrelevant,control,2,90.0,ambiguous_multiple_numbers,"**Probability of prevailing: 85-90**  **Reasoning:**  You have a valid lease contract running until April of next year. In nearly all US jurisdictions, a fixed-term lease gives you the right to occupy"
legal,first_person,control_irrelevant,control,0,87.5,clean,"**Probability you'd prevail: 85-90%**  **Reasoning:**  You have a valid lease contract running until April of next year. In nearly all US jurisdictions, a fixed-term lease gives you the right to occup"
legal,first_person,control_irrelevant,control,3,90.0,ambiguous_multiple_numbers,"**Probability you'd prevail: 85-90**  **Reasoning:**  In most US jurisdictions, a fixed-term lease creates a binding contract that runs until its expiration date (April in your case). The landlord gen"
legal,first_person,control_irrelevant,control,1,87.5,ambiguous_multiple_numbers,"**Probability you'd prevail: 85-90%**  **Reasoning:**  You have a valid lease contract running until April of next year. In nearly all US jurisdictions, a fixed-term lease gives you the right to occup"
legal,first_person,control_irrelevant,control,4,90.0,ambiguous_multiple_numbers,"**Probability: 85-95%**  **Reasoning:**  You have a valid lease contract that runs until April of next year. In virtually all US jurisdictions, a landlord cannot terminate a fixed-term lease early wit"
legal,first_person,control_irrelevant,control,5,87.5,ambiguous_multiple_numbers,"**Probability you'd prevail: 85-90%**  **Brief reasoning:**  You have a valid lease until April. In nearly all US jurisdictions, a landlord cannot terminate a fixed-term lease early without cause (bre"
legal,first_person,control_irrelevant,control,10,100.0,clean,"**Probability of prevailing: 85-90**  **Reasoning:**  In most U.S. jurisdictions, a fixed-term lease creates a binding contract that runs through its end date (April in your case). Your landlord gener"
