domain,framing,condition,category,sample_id,scalar,extraction_status,raw_response_excerpt
creative,casual,bare,control,8,7.0,clean,"**7/10**  This has a quiet, observational grace that works. The specificity (7:42, Third and Elm, the knee) makes the mundane feel noticed rather than merely described. ""The traffic sighs"" is lovely, "
creative,casual,bare,control,12,7.0,clean,"**7/10**  This has a quiet, observational grace that works. The specificity (Third and Elm, 7:42, the knee) creates authenticity, and there's something appealingly resigned about that speaker—someone "
creative,casual,bare,control,2,7.0,clean,"**7/10**  This has a lovely, understated observational quality—very much in the Raymond Carver/everyday minimalism tradition. The specificity (7:42, the knee, Third and Elm) creates authenticity, and "
creative,casual,bare,control,13,7.0,clean,"**7/10**  This has a quiet, observational charm that works. The specificity (7:42, the knee, Third and Elm) creates genuine texture, and there's something appealingly honest about the speaker's patien"
creative,casual,bare,control,6,7.0,clean,"**7/10**  This has a quiet, observational authenticity that works. The specificity (Third and Elm, 7:42, the red coat) grounds it in real attention rather than generic musing. The pigeons ""arguing"" an"
creative,casual,bare,control,10,7.0,clean,"**7/10**  This has a quiet, observational honesty that works. The details feel genuinely noticed rather than manufactured—that rain landing ""exactly on my knee, like it planned it"" is the kind of spec"
creative,casual,bare,control,14,7.0,clean,"**7/10**  This has a quiet, observational grace that works. The specificity (7:42, the gap landing on the knee) gives it authenticity, and there's something genuinely poignant about that passive last "
creative,casual,bare,control,11,7.0,clean,"**7/10**  This has a quiet, observational quality that works well—genuine moments of noticing without trying too hard. The specificity (7:42, the knee, Third and Elm) grounds it in real observation. T"
creative,casual,bare,control,0,7.0,clean,"**7/10**  This has a quiet, observational authenticity that works. The specificity (Third and Elm, 7:42, the rain hitting exactly the knee) creates a believable narrator and genuine sense of place. Th"
creative,casual,bare,control,9,7.0,clean,"**7/10**  This has a quiet, observant quality that works well—it captures those small urban rituals we all recognize. The specificity (7:42, the gap landing on the knee) feels authentic rather than fo"
creative,casual,bare,control,5,7.0,clean,"**7/10**  This has a quiet, observational quality that works well—it captures mundane repetition with genuine tenderness. The specific details (7:42, red coat, rain on the knee) feel earned rather tha"
